Hieracium alpinum
Hieracium anglicum
Hieracium aquiliforme
Hieracium arctocerinthe
Hieracium arrostocephalum
Hieracium cretatum
Hieracium demissum
Hieracium elegantiforme
Hieracium holopleurum
Hieracium leucodetum
Hieracium lygistodon
Hieracium macrocomum
Hieracium magnidens
Hieracium microdon
Hieracium phrixoclonum
Hieracium pullicalicitum
Hieracium stictophyllum
Hieracium stoedvarense
Hieracium stroemfeltii
Hieracium thaectolepium
Hieracium thulense
Triglochin maritima
Triglochin palustris
Potamogeton alpinus
Potamogeton berchtoldii
Potamogeton gramineus
Potamogeton natans
Potamogeton perfoliatus
Potamogeton praelongus
Stuckenia filiformis
Ruppia maritima
Zannichellia palustris
Zostera angustifolia
Sparganium angustifolium
Sparganium hyperboreum
Sparganium natans
Paris quadrifolia
Tofieldia pusilla
Allium oleraceum
Dactylorhiza maculata
Coeloglossum viride
Platanthera hyperborea
Pseudorchis straminea
Listera cordata
Listera ovata
Corallorhiza trifida
Juncus alpinoarticulatus
Juncus arcticus
Juncus articulatus
Juncus balticus
Juncus biglumis
Juncus bufonius
Juncus bulbosus
Juncus castaneus
Juncus filiformis
Juncus gerardii
Juncus ranarius
Juncus squarrosus
Juncus trifidus
Juncus triglumis
Luzula arcuata
Luzula confusa
Luzula multiflora
Luzula pallescens
Luzula spicata
Luzula sudetica
Eriophorum angustifolium
Eriophorum scheuchzeri
Trichophorum cespitosum
Eleocharis acicularis
Eleocharis palustris
Eleocharis quinqueflora
Eleocharis uniglumis
Kobresia myosuroides
Carex adelostoma
Carex atrata
Carex bicolor
Carex bigelowii
Carex brunnescens
Carex canescens
Carex capillaris
Carex capitata
Carex caryophyllea
Carex chordorrhiza
Carex demissa
Carex diandra
Carex dioica
Carex echinata
Carex flacca
Carex flava
Carex glacialis
Carex glareosa
Carex heleonastes
Carex krausei
Carex lachenalii
Carex limosa
Carex livida
Carex lyngbyei
Carex mackenziei
Carex macloviana
Carex maritima
Carex microglochin
Carex nardina
Carex nigra
Carex norvegica
Carex pallescens
Carex panicea
Carex paupercula
Carex pilulifera
Carex pulicaris
Carex rariflora
Carex rostrata
Carex rufina
Carex rupestris
Carex salina
Carex saxatilis
Carex serotina
Carex subspathacea
Carex vaginata
Danthonia decumbens
Milium effusum
Hierochloe odorata
Anthoxanthum odoratum
Phleum alpinum
Phleum pratense
Alopecurus aequalis
Alopecurus geniculatus
Alopecurus pratensis
Agrostis capillaris
Agrostis stolonifera
Agrostis vinealis
Calamagrostis neglecta
Holcus lanatus
Deschampsia alpina
Deschampsia beringensis
Deschampsia cespitosa
Avenella flexuosa
Avenula pubescens
Arrhenatherum elatius
Trisetum spicatum
Trisetum triflorum
Sesleria albicans
Catabrosa aquatica
Briza media
Dactylis glomerata
Poa alpina
Poa annua
Poa flexuosa
Poa glauca
Poa x jemtlandica
Poa nemoralis
Poa pratensis
Poa trivialis
Puccinellia capillaris
Puccinellia coarctata
