Comarum palustre,magnoliopsida
Fragaria vesca,magnoliopsida
Rubus saxatilis,magnoliopsida
Rosa dumalis,magnoliopsida
Rosa pimpinellifolia,magnoliopsida
Alchemilla alpina,magnoliopsida
Alchemilla faeroensis,magnoliopsida
Alchemilla filicaulis,magnoliopsida
Alchemilla glabra,magnoliopsida
Alchemilla glomerulans,magnoliopsida
Alchemilla mollis,magnoliopsida
Alchemilla subcrenata,magnoliopsida
Alchemilla wichurae,magnoliopsida
Sanguisorba alpina,magnoliopsida
Sanguisorba officinalis,magnoliopsida
Sorbus aucuparia,magnoliopsida
Lupinus nootkatensis,magnoliopsida
Trifolium hybridum,magnoliopsida
Trifolium medium,magnoliopsida
Trifolium pratense,magnoliopsida
Trifolium repens,magnoliopsida
Anthyllis vulneraria,magnoliopsida
Vicia cracca,magnoliopsida
Vicia sepium,magnoliopsida
Lathyrus japonicus,magnoliopsida
Lathyrus palustris,magnoliopsida
Lathyrus pratensis,magnoliopsida
Oxalis acetosella,magnoliopsida
Geranium sylvaticum,magnoliopsida
Linum catharticum,magnoliopsida
Viola canina,magnoliopsida
Viola epipsila,magnoliopsida
Viola palustris,magnoliopsida
Viola riviniana,magnoliopsida
Viola tricolor,magnoliopsida
Epilobium alsinifolium,magnoliopsida
Epilobium anagallidifolium,magnoliopsida
Epilobium ciliatum,magnoliopsida
Epilobium collinum,magnoliopsida
Epilobium hornemannii,magnoliopsida
Epilobium lactiflorum,magnoliopsida
Epilobium palustre,magnoliopsida
Chamerion angustifolium,magnoliopsida
Chamerion latifolium,magnoliopsida
Myriophyllum alterniflorum,magnoliopsida
Myriophyllum sibiricum,magnoliopsida
Cornus suecica,magnoliopsida
Hydrocotyle vulgaris,magnoliopsida
Anthriscus sylvestris,magnoliopsida
Myrrhis odorata,magnoliopsida
Carum carv,magnoliopsida
Aegopodium podagraria,magnoliopsida
Ligusticum scoticum,magnoliopsida
Angelica archangelica,magnoliopsida
Angelica sylvestris,magnoliopsida
Pyrola grandiflora,magnoliopsida
Pyrola minor,magnoliopsida
Orthilia secunda,magnoliopsida
Loiseleuria procumbens,magnoliopsida
Phyllodoce caerulea,magnoliopsida
Harrimanella hypnoides,magnoliopsida
Andromeda polifolia,magnoliopsida
Arctostaphylos uva-ursi,magnoliopsida
Calluna vulgaris,magnoliopsida
Vaccinium myrtillus,magnoliopsida
Vaccinium uliginosum,magnoliopsida
Vaccinium vitis-idaea,magnoliopsida
Oxycoccus microcarpus,magnoliopsida
Empetrum nigrum,magnoliopsida
Diapensia lapponica,magnoliopsida
Primula egaliksensis,magnoliopsida
Primula stricta,magnoliopsida
Trientalis europaea,magnoliopsida
Glaux maritima,magnoliopsida
Gentiana nivalis,magnoliopsida
Gentianopsis detonsa,magnoliopsida
Comastoma tenellum,magnoliopsida
Gentianella amarella,magnoliopsida
Gentianella aurea,magnoliopsida
Gentianella campestris,magnoliopsida
Lomatogonium rotatum,magnoliopsida
Menyanthes trifoliata,magnoliopsida
Galium boreale,magnoliopsida
Galium normanii,magnoliopsida
Galium palustre,magnoliopsida
Galium trifidum,magnoliopsida
Galium uliginosum,magnoliopsida
Galium verum,magnoliopsida
Callitriche brutia,magnoliopsida
Callitriche hamulata,magnoliopsida
Callitriche hermaphroditica,magnoliopsida
Callitriche palustris,magnoliopsida
Callitriche stagnalis,magnoliopsida
Hippuris tetraphylla,magnoliopsida
Hippuris vulgaris,magnoliopsida
Myosotis arvensis,magnoliopsida
Myosotis discolor,magnoliopsida
Myosotis scorpioides,magnoliopsida
Myosotis stricta,magnoliopsida
Mertensia maritima,magnoliopsida
Ajuga pyramidalis,magnoliopsida
Prunella vulgaris,magnoliopsida
Galeopsis tetrahit,magnoliopsida
Lamium album,magnoliopsida
Lamium amplexicaule,magnoliopsida
Lamium purpureum,magnoliopsida
Thymus praecox,magnoliopsida
Mentha aquatica,magnoliopsida
Limosella aquatica,magnoliopsida
Mimulus guttatus,magnoliopsida
Veronica alpina,magnoliopsida
Veronica anagallis-aquatica,magnoliopsida
Veronica chamaedrys,magnoliopsida
Veronica fruticans,magnoliopsida
Veronica officinalis,magnoliopsida
Veronica persica,magnoliopsida
Veronica scutellata,magnoliopsida
Veronica serpyllifolia,magnoliopsida
Melampyrum sylvaticum,magnoliopsida
Euphrasia calida,magnoliopsida
Euphrasia frigida,magnoliopsida
Euphrasia stricta,magnoliopsida
Rhinanthus minor,magnoliopsida
Pedicularis flammea,magnoliopsida
Bartsia alpina,magnoliopsida
Pinguicula vulgaris,magnoliopsida
Utricularia minor,magnoliopsida
Plantago lanceolata,magnoliopsida
Plantago major,magnoliopsida
Plantago maritima,magnoliopsida
Littorella uniflora,magnoliopsida
Valeriana officinalis,magnoliopsida
Valeriana sambucifolia,magnoliopsida
Succisa pratensis,magnoliopsida
Knautia arvensis,magnoliopsida
Campanula rotundifolia,magnoliopsida
Campanula uniflora,magnoliopsida
Campanula glomerata,magnoliopsida
Erigeron borealis,magnoliopsida
Erigeron humilis,magnoliopsida
Erigeron uniflorus,magnoliopsida
Omalotheca norvegica,magnoliopsida
Omalotheca supina,magnoliopsida
Omalotheca sylvatica,magnoliopsida
Gnaphalium uliginosum,magnoliopsida
Antennaria alpina,magnoliopsida
Achillea millefolium,magnoliopsida
Achillea ptarmica,magnoliopsida
Tripleurospermum maritimum,magnoliopsida
Lepidotheca suaveolens,magnoliopsida
Leucanthemum vulgare,magnoliopsida
Tussilago farfara,magnoliopsida
Senecio vulgaris,magnoliopsida
Cirsium arvense,magnoliopsida
Cirsium heterophyllum,magnoliopsida
Centaurea montana,magnoliopsida
Leontodon autumnalis,magnoliopsida
Taraxacum spp,magnoliopsida
Crepis paludosa,magnoliopsida
Pilosella aurantiaca,magnoliopsida
Pilosella islandica,magnoliopsida
Hieracium acidotoides,magnoliopsida
Hieracium alpinum,magnoliopsida
Hieracium anglicum,magnoliopsida
Hieracium aquiliforme,magnoliopsida
Hieracium arctocerinthe,magnoliopsida
Hieracium arrostocephalum,magnoliopsida
Hieracium cretatum,magnoliopsida
Hieracium demissum,magnoliopsida
Hieracium elegantiforme,magnoliopsida
Hieracium holopleurum,magnoliopsida
Hieracium leucodetum,magnoliopsida
Hieracium lygistodon,magnoliopsida
Hieracium macrocomum,magnoliopsida
Hieracium magnidens,magnoliopsida
Hieracium microdon,magnoliopsida
Hieracium phrixoclonum,magnoliopsida
Hieracium pullicalicitum,magnoliopsida
Hieracium stictophyllum,magnoliopsida
Hieracium stoedvarense,magnoliopsida
Hieracium stroemfeltii,magnoliopsida
Hieracium thaectolepium,magnoliopsida
Hieracium thulense,magnoliopsida
Triglochin maritima,liliopsida
Triglochin palustris,liliopsida
Potamogeton alpinus,liliopsida
Potamogeton berchtoldii,liliopsida
Potamogeton gramineus,liliopsida
Potamogeton natans,liliopsida
Potamogeton perfoliatus,liliopsida
Potamogeton praelongus,liliopsida
Stuckenia filiformis,liliopsida
Ruppia maritima,liliopsida
Zannichellia palustris,liliopsida
Zostera angustifolia,liliopsida
Sparganium angustifolium,liliopsida
Sparganium hyperboreum,liliopsida
Sparganium natans,liliopsida
Paris quadrifolia,liliopsida
Tofieldia pusilla,liliopsida
Allium oleraceum,liliopsida
Dactylorhiza maculata,liliopsida
Coeloglossum viride,liliopsida
Platanthera hyperborea,liliopsida
Pseudorchis straminea,liliopsida
Listera cordata,liliopsida
Listera ovata,liliopsida
Corallorhiza trifida,liliopsida
Juncus alpinoarticulatus,liliopsida
Juncus arcticus,liliopsida
Juncus articulatus,liliopsida
Juncus balticus,liliopsida
Juncus biglumis,liliopsida
Juncus bufonius,liliopsida
Juncus bulbosus,liliopsida
Juncus castaneus,liliopsida
Juncus filiformis,liliopsida
Juncus gerardii,liliopsida
Juncus ranarius,liliopsida
Juncus squarrosus,liliopsida
Juncus trifidus,liliopsida
Juncus triglumis,liliopsida
Luzula arcuata,liliopsida
Luzula confusa,liliopsida
Luzula multiflora,liliopsida
Luzula pallescens,liliopsida
Luzula spicata,liliopsida
Luzula sudetica,liliopsida
Eriophorum angustifolium,liliopsida
Eriophorum scheuchzeri,liliopsida
Trichophorum cespitosum,liliopsida
Eleocharis acicularis,liliopsida
Eleocharis palustris,liliopsida
Eleocharis quinqueflora,liliopsida
Eleocharis uniglumis,liliopsida
Kobresia myosuroides,liliopsida
Carex adelostoma,liliopsida
Carex atrata,liliopsida
Carex bicolor,liliopsida
Carex bigelowii,liliopsida
Carex brunnescens,liliopsida
Carex canescens,liliopsida
Carex capillaris,liliopsida
Carex capitata,liliopsida
Carex caryophyllea,liliopsida
Carex chordorrhiza,liliopsida
Carex demissa,liliopsida
Carex diandra,liliopsida
Carex dioica,liliopsida
Carex echinata,liliopsida
Carex flacca,liliopsida
Carex flava,liliopsida
Carex glacialis,liliopsida
Carex glareosa,liliopsida
Carex heleonastes,liliopsida
Carex krausei,liliopsida
Carex lachenalii,liliopsida
Carex limosa,liliopsida
Carex livida,liliopsida
Carex lyngbyei,liliopsida
Carex mackenziei,liliopsida
Carex macloviana,liliopsida
Carex maritima,liliopsida
Carex microglochin,liliopsida
Carex nardina,liliopsida
Carex nigra,liliopsida
Carex norvegica,liliopsida
Carex pallescens,liliopsida
Carex panicea,liliopsida
Carex paupercula,liliopsida
Carex pilulifera,liliopsida
Carex pulicaris,liliopsida
Carex rariflora,liliopsida
Carex rostrata,liliopsida
Carex rufina,liliopsida
Carex rupestris,liliopsida
Carex salina,liliopsida
Carex saxatilis,liliopsida
Carex serotina,liliopsida
Carex subspathacea,liliopsida
Carex vaginata,liliopsida
Danthonia decumbens,liliopsida
Milium effusum,liliopsida
Hierochloe odorata,liliopsida
Anthoxanthum odoratum,liliopsida
Phleum alpinum,liliopsida
Phleum pratense,liliopsida
Alopecurus aequalis,liliopsida
Alopecurus geniculatus,liliopsida
Alopecurus pratensis,liliopsida
Agrostis capillaris,liliopsida
Agrostis stolonifera,liliopsida
Agrostis vinealis,liliopsida
Calamagrostis neglecta,liliopsida
Holcus lanatus,liliopsida
Deschampsia alpina,liliopsida
Deschampsia beringensis,liliopsida
Deschampsia cespitosa,liliopsida
Avenella flexuosa,liliopsida
Avenula pubescens,liliopsida
Arrhenatherum elatius,liliopsida
Trisetum spicatum,liliopsida
Trisetum triflorum,liliopsida
Sesleria albicans,liliopsida
Catabrosa aquatica,liliopsida
Briza media,liliopsida
Dactylis glomerata,liliopsida
Poa alpina,liliopsida
Poa annua,liliopsida
Poa flexuosa,liliopsida
Poa glauca,liliopsida
Poa x jemtlandica,liliopsida
Poa nemoralis,liliopsida
Poa pratensis,liliopsida
Poa trivialis,liliopsida
Puccinellia capillaris,liliopsida
Puccinellia coarctata,liliopsida
Phippsia algida,liliopsida
Festuca rubra,liliopsida
Festuca vivipara,liliopsida
Schedonorus pratensis,liliopsida
Glyceria fluitans,liliopsida
Nardus stricta,liliopsida
Bromopsis inermis,liliopsida
Elymus alopex,liliopsida
Elymus kronokensis,liliopsida
Elytrigia repens,liliopsida
Leymus arenarius,liliopsida
