CGG3_017665,2715179 CGG3_017665.koutput.txt
CGG3_017657,2670213 CGG3_017657.koutput.txt
CGG3_017649,4204665 CGG3_017649.koutput.txt
CGG3_017641,3833879 CGG3_017641.koutput.txt
CGG3_017633,3854619 CGG3_017633.koutput.txt
CGG3_017625,3145990 CGG3_017625.koutput.txt
CGG3_017619,3404728 CGG3_017619.koutput.txt
CGG3_016656,2598233 CGG3_016656.koutput.txt
CGG3_016643,3414982 CGG3_016643.koutput.txt
CGG3_017497,4132047 CGG3_017497.koutput.txt
CGG3_017417,1388741 CGG3_017417.koutput.txt
CGG3_017392,1829337 CGG3_017392.koutput.txt
CGG3_017666,3676797 CGG3_017666.koutput.txt
CGG3_017658,2819917 CGG3_017658.koutput.txt
CGG3_017650,3404370 CGG3_017650.koutput.txt
CGG3_017642,3669632 CGG3_017642.koutput.txt
CGG3_017634,3900450 CGG3_017634.koutput.txt
CGG3_017626,4592320 CGG3_017626.koutput.txt
CGG3_017620,4306531 CGG3_017620.koutput.txt
CGG3_016658,2696610 CGG3_016658.koutput.txt
CGG3_016645,3833747 CGG3_016645.koutput.txt
CGG3_017508,3666204 CGG3_017508.koutput.txt
CGG3_017420,2961894 CGG3_017420.koutput.txt
CGG3_017396,1711346 CGG3_017396.koutput.txt
CGG3_017667,3111263 CGG3_017667.koutput.txt
CGG3_017659,2682636 CGG3_017659.koutput.txt
CGG3_017651,2766814 CGG3_017651.koutput.txt
CGG3_017643,2651372 CGG3_017643.koutput.txt
CGG3_017635,4334642 CGG3_017635.koutput.txt
CGG3_017627,3876351 CGG3_017627.koutput.txt
CGG3_017621,4357451 CGG3_017621.koutput.txt
CGG3_016660,3023117 CGG3_016660.koutput.txt
CGG3_016647,3360475 CGG3_016647.koutput.txt
CGG3_016617,3785670 CGG3_016617.koutput.txt
CGG3_017431,2613477 CGG3_017431.koutput.txt
CGG3_017399,1415584 CGG3_017399.koutput.txt
CGG3_017668,2794546 CGG3_017668.koutput.txt
CGG3_017660,1778661 CGG3_017660.koutput.txt
CGG3_017652,2553620 CGG3_017652.koutput.txt
CGG3_017644,3413499 CGG3_017644.koutput.txt
CGG3_017636,3151219 CGG3_017636.koutput.txt
CGG3_017628,4913671 CGG3_017628.koutput.txt
CGG3_017622,3680181 CGG3_017622.koutput.txt
CGG3_016662,3570587 CGG3_016662.koutput.txt
CGG3_016649,2563859 CGG3_016649.koutput.txt
CGG3_016628,3822203 CGG3_016628.koutput.txt
CGG3_017442,2439653 CGG3_017442.koutput.txt
CGG3_017402,1199783 CGG3_017402.koutput.txt
CGG3_017669,3889492 CGG3_017669.koutput.txt
CGG3_017661,2037132 CGG3_017661.koutput.txt
CGG3_017653,1787815 CGG3_017653.koutput.txt
CGG3_017645,4441705 CGG3_017645.koutput.txt
CGG3_017637,4674097 CGG3_017637.koutput.txt
CGG3_017629,5021134 CGG3_017629.koutput.txt
CGG3_017623,3480991 CGG3_017623.koutput.txt
CGG3_016664,3235747 CGG3_016664.koutput.txt
CGG3_016651,2846428 CGG3_016651.koutput.txt
CGG3_016635,4093744 CGG3_016635.koutput.txt
CGG3_017453,2716104 CGG3_017453.koutput.txt
CGG3_017405,3310486 CGG3_017405.koutput.txt
CGG3_017670,3004904 CGG3_017670.koutput.txt
CGG3_017662,2029999 CGG3_017662.koutput.txt
CGG3_017654,2551974 CGG3_017654.koutput.txt
CGG3_017646,3954432 CGG3_017646.koutput.txt
CGG3_017638,4220772 CGG3_017638.koutput.txt
CGG3_017630,3556982 CGG3_017630.koutput.txt
CGG3_017624,3585818 CGG3_017624.koutput.txt
CGG3_016666,2540880 CGG3_016666.koutput.txt
CGG3_016652,1994287 CGG3_016652.koutput.txt
CGG3_016637,3885422 CGG3_016637.koutput.txt
CGG3_017464,2908208 CGG3_017464.koutput.txt
CGG3_017408,1538778 CGG3_017408.koutput.txt
CGG3_017663,2781816 CGG3_017663.koutput.txt
CGG3_017655,1996163 CGG3_017655.koutput.txt
CGG3_017647,3038447 CGG3_017647.koutput.txt
CGG3_017639,3874030 CGG3_017639.koutput.txt
CGG3_017631,3995320 CGG3_017631.koutput.txt
CGG3_016668,3415574 CGG3_016668.koutput.txt
CGG3_016653,2848467 CGG3_016653.koutput.txt
CGG3_017475,2931186 CGG3_017475.koutput.txt
CGG3_017411,1549575 CGG3_017411.koutput.txt
CGG3_017664,3669492 CGG3_017664.koutput.txt
CGG3_017656,2624692 CGG3_017656.koutput.txt
CGG3_017648,3406347 CGG3_017648.koutput.txt
CGG3_017640,3920525 CGG3_017640.koutput.txt
CGG3_017632,3914883 CGG3_017632.koutput.txt
CGG3_016670,2758857 CGG3_016670.koutput.txt
CGG3_016654,2293497 CGG3_016654.koutput.txt
CGG3_016641,3302716 CGG3_016641.koutput.txt
CGG3_017486,1616928 CGG3_017486.koutput.txt
CGG3_017414,3453297 CGG3_017414.koutput.txt
